Name,PM2.5,Pollution Category
Ghaziabad,69.8,3 - Satisfactory
Ghaziabad,62.9,3 - Satisfactory
Ghaziabad,62.4,3 - Satisfactory
Ghaziabad,67.5,3 - Satisfactory
Ghaziabad,65.9,3 - Satisfactory
Ghaziabad,64.5,3 - Satisfactory
Ghaziabad,65.2,3 - Satisfactory
Ghaziabad,65.4,3 - Satisfactory
Ghaziabad,62.2,3 - Satisfactory
Ghaziabad,60.1,6 - Very Poor
Ghaziabad,57.9,2 - Good
Ghaziabad,60.1,6 - Very Poor
Ghaziabad,51.2,2 - Good
Ghaziabad,58.0,2 - Good
Ghaziabad,66.1,3 - Satisfactory
Ghaziabad,75.9,3 - Satisfactory
Ghaziabad,84.8,3 - Satisfactory
Ghaziabad,98.7,4 - Borderline
Ghaziabad,114.1,4 - Borderline
Ghaziabad,123.9,5 - Poor
Ghaziabad,136.4,5 - Poor
Ghaziabad,143.9,5 - Poor
Ghaziabad,145.8,5 - Poor
Ghaziabad,142.5,5 - Poor
Ghaziabad,104.3,4 - Borderline
Ghaziabad,106.4,4 - Borderline
Ghaziabad,110.4,4 - Borderline
Ghaziabad,96.4,4 - Borderline
Ghaziabad,79.6,3 - Satisfactory
Ghaziabad,76.4,3 - Satisfactory
Ghaziabad,75.7,3 - Satisfactory
Ghaziabad,73.8,3 - Satisfactory
Ghaziabad,72.4,3 - Satisfactory
Ghaziabad,69.8,3 - Satisfactory
Ghaziabad,66.4,3 - Satisfactory
Ghaziabad,63.6,3 - Satisfactory
Ghaziabad,69.4,3 - Satisfactory
Ghaziabad,80.1,3 - Satisfactory
Ghaziabad,91.0,4 - Borderline
Ghaziabad,103.8,4 - Borderline
Ghaziabad,111.5,4 - Borderline
Ghaziabad,113.4,4 - Borderline
Ghaziabad,112.0,4 - Borderline
Ghaziabad,108.5,4 - Borderline
Ghaziabad,111.3,4 - Borderline
Ghaziabad,120.6,6 - Very Poor
Ghaziabad,131.3,5 - Poor
Ghaziabad,141.1,5 - Poor
Ghaziabad,144.4,5 - Poor
Ghaziabad,138.8,5 - Poor
Ghaziabad,129.9,5 - Poor
Ghaziabad,115.0,4 - Borderline
Ghaziabad,92.0,4 - Borderline
Ghaziabad,73.3,3 - Satisfactory
Ghaziabad,70.1,3 - Satisfactory
Ghaziabad,67.1,3 - Satisfactory
Ghaziabad,68.2,3 - Satisfactory
Ghaziabad,67.8,3 - Satisfactory
Ghaziabad,66.6,3 - Satisfactory
Ghaziabad,66.4,3 - Satisfactory
Ghaziabad,67.8,3 - Satisfactory
Ghaziabad,82.7,3 - Satisfactory
Ghaziabad,108.3,4 - Borderline
Ghaziabad,125.7,5 - Poor
Ghaziabad,138.3,5 - Poor
Ghaziabad,156.0,5 - Poor
Ghaziabad,169.5,5 - Poor
Ghaziabad,173.7,5 - Poor
Ghaziabad,174.2,5 - Poor
Ghaziabad,164.8,5 - Poor
Ghaziabad,159.7,5 - Poor
Ghaziabad,146.7,5 - Poor
Ghaziabad,88.9,3 - Satisfactory
Ghaziabad,64.3,3 - Satisfactory
Ghaziabad,65.9,3 - Satisfactory
Ghaziabad,70.1,3 - Satisfactory
Ghaziabad,68.7,3 - Satisfactory
Ghaziabad,63.3,3 - Satisfactory
Ghaziabad,60.8,6 - Very Poor
Ghaziabad,60.1,6 - Very Poor
Ghaziabad,60.8,6 - Very Poor
Ghaziabad,61.5,3 - Satisfactory
Ghaziabad,61.2,3 - Satisfactory
Ghaziabad,66.4,3 - Satisfactory
Ghaziabad,64.7,3 - Satisfactory
Ghaziabad,67.8,3 - Satisfactory
Ghaziabad,69.4,3 - Satisfactory
Ghaziabad,69.4,3 - Satisfactory
Ghaziabad,66.8,3 - Satisfactory
Ghaziabad,67.5,3 - Satisfactory
Ghaziabad,69.2,3 - Satisfactory
Ghaziabad,67.1,3 - Satisfactory
Ghaziabad,63.8,3 - Satisfactory
Ghaziabad,59.3,2 - Good
Ghaziabad,53.8,2 - Good
Ghaziabad,49.5,2 - Good
Ghaziabad,59.3,2 - Good
Ghaziabad,58.1,2 - Good
Ghaziabad,56.0,2 - Good
Ghaziabad,55.9,2 - Good
Ghaziabad,57.9,2 - Good
Ghaziabad,57.2,2 - Good
Ghaziabad,62.6,3 - Satisfactory
Ghaziabad,56.5,2 - Good
Ghaziabad,51.6,2 - Good
Ghaziabad,50.1,2 - Good
Ghaziabad,49.8,2 - Good
Ghaziabad,48.1,2 - Good
Ghaziabad,34.7,2 - Good
Ghaziabad,42.0,2 - Good
Ghaziabad,55.3,2 - Good
Ghaziabad,61.0,3 - Satisfactory
Ghaziabad,62.2,3 - Satisfactory
Ghaziabad,66.1,3 - Satisfactory
Ghaziabad,70.8,3 - Satisfactory
Ghaziabad,74.3,3 - Satisfactory
Ghaziabad,78.7,3 - Satisfactory
Ghaziabad,84.3,3 - Satisfactory
Ghaziabad,91.5,4 - Borderline
Ghaziabad,92.9,4 - Borderline
Ghaziabad,121.1,5 - Poor
Ghaziabad,103.4,4 - Borderline
Ghaziabad,105.2,4 - Borderline
Ghaziabad,102.9,4 - Borderline
Ghaziabad,62.6,3 - Satisfactory
Ghaziabad,49.0,2 - Good
Ghaziabad,46.2,2 - Good
Ghaziabad,47.7,2 - Good
Ghaziabad,47.4,2 - Good
Ghaziabad,45.9,2 - Good
Ghaziabad,44.7,2 - Good
Ghaziabad,42.7,2 - Good
Ghaziabad,52.4,2 - Good
Ghaziabad,70.8,3 - Satisfactory
Ghaziabad,93.4,4 - Borderline
Ghaziabad,113.6,4 - Borderline
Ghaziabad,127.1,5 - Poor
Ghaziabad,130.9,5 - Poor
Ghaziabad,122.5,5 - Poor
Ghaziabad,112.5,4 - Borderline
Ghaziabad,108.3,4 - Borderline
Ghaziabad,104.8,4 - Borderline
Ghaziabad,95.2,4 - Borderline
Ghaziabad,83.8,3 - Satisfactory
Ghaziabad,71.9,3 - Satisfactory
Ghaziabad,72.4,3 - Satisfactory
Ghaziabad,77.1,3 - Satisfactory
Ghaziabad,70.1,3 - Satisfactory
Ghaziabad,57.3,2 - Good
Ghaziabad,47.5,2 - Good
Ghaziabad,40.7,2 - Good
Ghaziabad,34.3,2 - Good
Ghaziabad,32.0,2 - Good
Ghaziabad,30.6,6 - Very Poor
Ghaziabad,29.6,1 - Very Good
Ghaziabad,28.9,1 - Very Good
Ghaziabad,31.3,2 - Good
Ghaziabad,40.4,2 - Good
Ghaziabad,48.7,2 - Good
Ghaziabad,55.1,2 - Good
Ghaziabad,59.8,2 - Good
Ghaziabad,63.3,3 - Satisfactory
Ghaziabad,65.4,3 - Satisfactory
Ghaziabad,68.9,3 - Satisfactory
Ghaziabad,76.6,3 - Satisfactory
Ghaziabad,85.4,3 - Satisfactory
Ghaziabad,93.6,4 - Borderline
Ghaziabad,97.3,4 - Borderline
Ghaziabad,78.9,3 - Satisfactory
Ghaziabad,87.1,3 - Satisfactory
Ghaziabad,98.7,4 - Borderline
Ghaziabad,94.5,4 - Borderline
Ghaziabad,68.2,3 - Satisfactory
Ghaziabad,57.4,2 - Good
Ghaziabad,53.1,2 - Good
Ghaziabad,51.7,2 - Good
Ghaziabad,49.2,2 - Good
Ghaziabad,46.8,2 - Good
Ghaziabad,46.6,2 - Good
Ghaziabad,46.0,2 - Good
Ghaziabad,50.9,2 - Good
Ghaziabad,53.4,2 - Good
Ghaziabad,68.0,3 - Satisfactory
Ghaziabad,73.3,3 - Satisfactory
Ghaziabad,70.1,3 - Satisfactory
Ghaziabad,69.6,3 - Satisfactory
Ghaziabad,71.0,3 - Satisfactory
Ghaziabad,64.7,3 - Satisfactory
Ghaziabad,68.2,3 - Satisfactory
Ghaziabad,73.6,3 - Satisfactory
Ghaziabad,75.2,3 - Satisfactory
Ghaziabad,75.0,3 - Satisfactory
Ghaziabad,63.6,3 - Satisfactory
Ghaziabad,57.3,2 - Good
Ghaziabad,57.3,2 - Good
Ghaziabad,57.9,2 - Good
Ghaziabad,49.0,2 - Good
Ghaziabad,48.1,2 - Good
Ghaziabad,48.4,2 - Good
Ghaziabad,49.5,2 - Good
Ghaziabad,51.6,2 - Good
Ghaziabad,49.9,2 - Good
Ghaziabad,48.3,2 - Good
Ghaziabad,48.0,2 - Good
Ghaziabad,51.1,2 - Good
Ghaziabad,67.3,3 - Satisfactory
Ghaziabad,91.3,4 - Borderline
Ghaziabad,109.7,4 - Borderline
Ghaziabad,110.4,4 - Borderline
Ghaziabad,89.2,3 - Satisfactory
Ghaziabad,72.2,3 - Satisfactory
Ghaziabad,57.6,2 - Good
Ghaziabad,50.2,2 - Good
Ghaziabad,49.4,2 - Good
Ghaziabad,51.9,2 - Good
Ghaziabad,54.8,2 - Good
Ghaziabad,41.2,2 - Good
Ghaziabad,45.8,2 - Good
Ghaziabad,53.2,2 - Good
Ghaziabad,50.6,2 - Good
Ghaziabad,48.2,2 - Good
Ghaziabad,42.8,2 - Good
Ghaziabad,37.7,2 - Good
Ghaziabad,36.0,2 - Good
Ghaziabad,34.5,2 - Good
Ghaziabad,32.5,2 - Good
Ghaziabad,31.9,2 - Good
Ghaziabad,31.7,2 - Good
Ghaziabad,37.4,2 - Good
Ghaziabad,41.4,2 - Good
Ghaziabad,43.4,2 - Good
Ghaziabad,42.8,2 - Good
Ghaziabad,42.3,2 - Good
Ghaziabad,43.9,2 - Good
Ghaziabad,46.4,2 - Good
Ghaziabad,48.5,2 - Good
Ghaziabad,51.6,2 - Good
Ghaziabad,54.4,2 - Good
Ghaziabad,55.9,2 - Good
Ghaziabad,56.6,2 - Good
Ghaziabad,56.1,2 - Good
Ghaziabad,56.6,2 - Good
Ghaziabad,60.3,6 - Very Poor
Ghaziabad,56.3,2 - Good
Ghaziabad,48.7,2 - Good
Ghaziabad,41.7,2 - Good
Ghaziabad,36.8,2 - Good
Ghaziabad,34.0,2 - Good
Ghaziabad,30.7,6 - Very Poor
Ghaziabad,29.0,1 - Very Good
Ghaziabad,28.1,1 - Very Good
Ghaziabad,27.2,1 - Very Good
Ghaziabad,26.2,1 - Very Good
Ghaziabad,34.1,2 - Good
Ghaziabad,43.4,2 - Good
Ghaziabad,46.0,2 - Good
Ghaziabad,47.3,2 - Good
Ghaziabad,51.3,2 - Good
Ghaziabad,56.8,2 - Good
Ghaziabad,60.8,6 - Very Poor
Ghaziabad,66.1,3 - Satisfactory
Ghaziabad,72.6,3 - Satisfactory
Ghaziabad,79.9,3 - Satisfactory
Ghaziabad,88.0,3 - Satisfactory
Ghaziabad,74.5,3 - Satisfactory
Ghaziabad,89.4,3 - Satisfactory
Ghaziabad,90.1,6 - Very Poor
Ghaziabad,73.6,3 - Satisfactory
Ghaziabad,50.4,2 - Good
Ghaziabad,38.9,2 - Good
Ghaziabad,33.2,2 - Good
Ghaziabad,28.5,1 - Very Good
Ghaziabad,24.8,1 - Very Good
Ghaziabad,22.8,1 - Very Good
Ghaziabad,21.7,1 - Very Good
Ghaziabad,21.1,1 - Very Good
Ghaziabad,23.6,1 - Very Good
Ghaziabad,37.5,2 - Good
Ghaziabad,57.3,2 - Good
Ghaziabad,71.7,3 - Satisfactory
Ghaziabad,76.4,3 - Satisfactory
Ghaziabad,80.1,3 - Satisfactory
Ghaziabad,82.0,3 - Satisfactory
Ghaziabad,78.5,3 - Satisfactory
Ghaziabad,75.7,3 - Satisfactory
Ghaziabad,75.2,3 - Satisfactory
Ghaziabad,76.6,3 - Satisfactory
Ghaziabad,79.9,3 - Satisfactory
Ghaziabad,84.5,3 - Satisfactory
Ghaziabad,95.2,4 - Borderline
Ghaziabad,102.4,4 - Borderline
Ghaziabad,92.2,4 - Borderline
Ghaziabad,68.7,3 - Satisfactory
Ghaziabad,52.0,2 - Good
Ghaziabad,49.9,2 - Good
Ghaziabad,51.9,2 - Good
Ghaziabad,51.6,2 - Good
Ghaziabad,48.4,2 - Good
Ghaziabad,44.0,2 - Good
Ghaziabad,41.0,2 - Good
Ghaziabad,52.5,2 - Good
Ghaziabad,66.6,3 - Satisfactory
Ghaziabad,84.1,3 - Satisfactory
Ghaziabad,104.1,4 - Borderline
Ghaziabad,124.3,5 - Poor
Ghaziabad,140.6,5 - Poor
Ghaziabad,146.2,5 - Poor
Ghaziabad,136.0,5 - Poor
Ghaziabad,120.6,6 - Very Poor
Ghaziabad,105.2,4 - Borderline
Ghaziabad,94.1,4 - Borderline
Ghaziabad,89.9,3 - Satisfactory
Ghaziabad,117.8,4 - Borderline
Ghaziabad,110.4,4 - Borderline
Ghaziabad,99.2,4 - Borderline
Ghaziabad,93.8,4 - Borderline
Ghaziabad,83.6,3 - Satisfactory
Ghaziabad,68.7,3 - Satisfactory
Ghaziabad,60.8,6 - Very Poor
Ghaziabad,57.5,2 - Good
Ghaziabad,61.2,3 - Satisfactory
Ghaziabad,73.8,3 - Satisfactory
Ghaziabad,82.4,3 - Satisfactory
Ghaziabad,83.8,3 - Satisfactory
Ghaziabad,85.9,3 - Satisfactory
Ghaziabad,63.3,3 - Satisfactory
Ghaziabad,51.3,2 - Good
Ghaziabad,45.8,2 - Good
Ghaziabad,38.5,2 - Good
Ghaziabad,37.3,2 - Good
Ghaziabad,43.1,2 - Good
Ghaziabad,46.1,2 - Good
Ghaziabad,48.7,2 - Good
Ghaziabad,49.5,2 - Good
Ghaziabad,50.3,2 - Good
Ghaziabad,51.2,2 - Good
Ghaziabad,41.8,2 - Good
Ghaziabad,41.4,2 - Good
Ghaziabad,42.4,2 - Good
Ghaziabad,39.6,2 - Good
Ghaziabad,36.7,2 - Good
Ghaziabad,37.1,2 - Good
Ghaziabad,41.8,2 - Good
Ghaziabad,46.1,2 - Good
Ghaziabad,46.7,2 - Good
Ghaziabad,47.4,2 - Good
Ghaziabad,52.4,2 - Good
Ghaziabad,50.6,2 - Good
Ghaziabad,39.0,2 - Good
Ghaziabad,42.4,2 - Good
Ghaziabad,44.1,2 - Good
Ghaziabad,48.4,2 - Good
Ghaziabad,56.9,2 - Good
Ghaziabad,69.4,3 - Satisfactory
Ghaziabad,75.2,3 - Satisfactory
Ghaziabad,72.9,3 - Satisfactory
Ghaziabad,71.7,3 - Satisfactory
Ghaziabad,72.2,3 - Satisfactory
Ghaziabad,68.5,3 - Satisfactory
Ghaziabad,57.0,2 - Good
Ghaziabad,73.1,3 - Satisfactory
Ghaziabad,76.8,3 - Satisfactory
Ghaziabad,67.8,3 - Satisfactory
Ghaziabad,54.6,2 - Good
Ghaziabad,49.8,2 - Good
Ghaziabad,51.1,2 - Good
Ghaziabad,52.6,2 - Good
Ghaziabad,50.8,2 - Good
Ghaziabad,47.6,2 - Good
Ghaziabad,48.0,2 - Good
Ghaziabad,57.0,2 - Good
Ghaziabad,61.7,3 - Satisfactory
Ghaziabad,41.1,2 - Good
Ghaziabad,53.2,2 - Good
Ghaziabad,80.1,3 - Satisfactory
Ghaziabad,107.8,4 - Borderline
Ghaziabad,132.7,5 - Poor
Ghaziabad,153.7,5 - Poor
Ghaziabad,170.0,5 - Poor
Ghaziabad,177.4,5 - Poor
Ghaziabad,181.6,5 - Poor
Ghaziabad,185.8,5 - Poor
Ghaziabad,190.5,5 - Poor
Ghaziabad,194.6,5 - Poor
Ghaziabad,178.3,5 - Poor
Ghaziabad,158.8,5 - Poor
Ghaziabad,156.0,5 - Poor
Ghaziabad,108.3,4 - Borderline
Ghaziabad,91.0,4 - Borderline
Ghaziabad,81.0,3 - Satisfactory
Ghaziabad,69.4,3 - Satisfactory
Ghaziabad,60.3,6 - Very Poor
Ghaziabad,51.3,2 - Good
Ghaziabad,42.3,2 - Good
Ghaziabad,34.7,2 - Good
Ghaziabad,29.9,1 - Very Good
Ghaziabad,30.4,6 - Very Poor
Ghaziabad,39.3,2 - Good
Ghaziabad,55.4,2 - Good
Ghaziabad,70.1,3 - Satisfactory
Ghaziabad,82.4,3 - Satisfactory
Ghaziabad,93.6,4 - Borderline
Ghaziabad,102.7,4 - Borderline
Ghaziabad,105.5,4 - Borderline
Ghaziabad,101.7,4 - Borderline
Ghaziabad,86.8,3 - Satisfactory
Ghaziabad,75.7,3 - Satisfactory
Ghaziabad,74.0,3 - Satisfactory
Ghaziabad,63.1,3 - Satisfactory
Ghaziabad,68.5,3 - Satisfactory
Ghaziabad,72.4,3 - Satisfactory
Ghaziabad,66.4,3 - Satisfactory
Ghaziabad,50.5,2 - Good
Ghaziabad,39.2,2 - Good
Ghaziabad,36.4,2 - Good
Ghaziabad,37.4,2 - Good
Ghaziabad,41.0,2 - Good
Ghaziabad,45.9,2 - Good
Ghaziabad,43.1,2 - Good
Ghaziabad,39.8,2 - Good
Ghaziabad,37.5,2 - Good
Ghaziabad,55.8,2 - Good
Ghaziabad,71.0,3 - Satisfactory
Ghaziabad,57.7,2 - Good
Ghaziabad,47.1,2 - Good
Ghaziabad,42.5,2 - Good
Ghaziabad,40.9,2 - Good
Ghaziabad,40.3,2 - Good
Ghaziabad,43.1,2 - Good
Ghaziabad,50.3,2 - Good
Ghaziabad,60.3,6 - Very Poor
Ghaziabad,72.2,3 - Satisfactory
Ghaziabad,40.7,2 - Good
Ghaziabad,39.3,2 - Good
Ghaziabad,41.6,2 - Good
Ghaziabad,42.3,2 - Good
Ghaziabad,40.0,2 - Good
Ghaziabad,35.7,2 - Good
Ghaziabad,35.4,2 - Good
Ghaziabad,34.8,2 - Good
Ghaziabad,33.8,2 - Good
Ghaziabad,32.2,2 - Good
Ghaziabad,30.6,6 - Very Poor
Ghaziabad,29.0,1 - Very Good
