Name,PM10 (µg/m³),Pollution Category
Ghaziabad,102.4,3 - Satisfactory
Ghaziabad,93.6,2 - Good
Ghaziabad,125.3,3 - Satisfactory
Ghaziabad,152.7,3 - Satisfactory
Ghaziabad,108.3,3 - Satisfactory
Ghaziabad,160.7,3 - Satisfactory
Ghaziabad,207.7,3 - Satisfactory
Ghaziabad,100.1,6 - Very Poor
Ghaziabad,198.8,3 - Satisfactory
Ghaziabad,128.1,3 - Satisfactory
Ghaziabad,89.2,2 - Good
Ghaziabad,98.5,2 - Good
Ghaziabad,85.4,2 - Good
Ghaziabad,75.4,2 - Good
Ghaziabad,88.9,2 - Good
Ghaziabad,172.8,3 - Satisfactory
Ghaziabad,68.9,2 - Good
Ghaziabad,184.9,3 - Satisfactory
Ghaziabad,106.4,3 - Satisfactory
Ghaziabad,51.7,2 - Good
Ghaziabad,94.3,2 - Good
Ghaziabad,119.7,3 - Satisfactory
Ghaziabad,85.0,2 - Good
Ghaziabad,108.0,3 - Satisfactory
Ghaziabad,94.8,2 - Good
Ghaziabad,86.1,2 - Good
Ghaziabad,165.8,3 - Satisfactory
Ghaziabad,61.2,2 - Good
Ghaziabad,67.1,2 - Good
Ghaziabad,75.0,2 - Good
Ghaziabad,86.1,2 - Good
Ghaziabad,51.8,2 - Good
Ghaziabad,78.5,2 - Good
Ghaziabad,112.5,3 - Satisfactory
Ghaziabad,40.9,1 - Very Good
Ghaziabad,114.6,3 - Satisfactory
Ghaziabad,125.3,3 - Satisfactory
Ghaziabad,78.9,2 - Good
Ghaziabad,182.5,3 - Satisfactory
Ghaziabad,175.1,3 - Satisfactory
Ghaziabad,95.5,2 - Good
Ghaziabad,61.9,2 - Good
Ghaziabad,60.5,2 - Good
Ghaziabad,71.9,2 - Good
Ghaziabad,83.1,2 - Good
Ghaziabad,106.2,3 - Satisfactory
Ghaziabad,73.1,2 - Good
Ghaziabad,190.9,3 - Satisfactory
Ghaziabad,256.1,4 - Borderline
Ghaziabad,79.4,2 - Good
