Name,CO Pollution Category,SO2 Pollution Category,Final Pollution Category,CO,SO2
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,148.60484570760767,1.2744732519532995
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,132.95546936048558,0.9166534732308431
Cities,3 - Satisfactory,3 - Satisfactory,3 - Satisfactory,134.64485997148074,5.448683420658127
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,162.52029907622025,1.8504876022823677
Cities,4 - Borderline,1 - Very Good,4 - Borderline,191.41286879630152,0.31669710637345855
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,161.59265829760844,0.5837087110443785
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,165.7299876993205,1.6423416895880236
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,155.39028910834648,0.23729801701238312
Cities,4 - Borderline,1 - Very Good,4 - Borderline,177.38940585177133,1.4411574719760807
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,155.75988430886218,1.8244585007831915
Cities,3 - Satisfactory,3 - Satisfactory,3 - Satisfactory,153.3845279958805,5.8977035401097435
Cities,4 - Borderline,1 - Very Good,4 - Borderline,193.14129802770913,0.8148247397853251
Cities,4 - Borderline,4 - Borderline,4 - Borderline,196.56290276774857,7.141830422004572
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,148.51599360054036,0.8578459930400195
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,138.93427361189336,0.42762510562632916
Cities,3 - Satisfactory,2 - Good,3 - Satisfactory,149.78914701653363,2.58516243474267
Cities,4 - Borderline,3 - Satisfactory,4 - Borderline,179.04301293404714,4.258792019256848
Cities,4 - Borderline,1 - Very Good,4 - Borderline,173.13168885151123,1.124714079554187
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,158.54683967664593,1.1433196794648386
Cities,4 - Borderline,1 - Very Good,4 - Borderline,197.89656801250402,1.6680257790101343
Cities,4 - Borderline,3 - Satisfactory,4 - Borderline,194.26586014467088,4.3161614339866725
Cities,3 - Satisfactory,2 - Good,3 - Satisfactory,163.6900684754094,3.5997692036499402
Cities,3 - Satisfactory,2 - Good,3 - Satisfactory,156.55674697345697,2.714454810878043
Cities,4 - Borderline,2 - Good,4 - Borderline,197.03031647943607,3.506175375448304
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,164.93557450055664,0.903097787827257
Cities,4 - Borderline,1 - Very Good,4 - Borderline,174.4859753975133,0.5515372804338644
Cities,3 - Satisfactory,2 - Good,3 - Satisfactory,154.2769706534348,3.266788498327431
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,151.80943740416808,1.8048040954485292
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,140.16274845826817,1.5239860900112827
Cities,3 - Satisfactory,3 - Satisfactory,3 - Satisfactory,141.3394828391081,4.387612860631317
Cities,3 - Satisfactory,3 - Satisfactory,3 - Satisfactory,159.2656700089822,5.4946124303914265
Cities,4 - Borderline,1 - Very Good,4 - Borderline,171.0107369970074,0.4435398054770556
Cities,3 - Satisfactory,3 - Satisfactory,3 - Satisfactory,169.43750711979837,4.913898595349857
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,149.77142518677525,1.9753100900155938
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,153.08003073109725,1.6307061664000633
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,148.49384855353537,1.625062155764477
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,155.83535680609992,0.8970828411668355
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,156.96768604087742,0.7879777833528968
Cities,3 - Satisfactory,2 - Good,3 - Satisfactory,134.83471118978326,3.3864231882855638
Cities,3 - Satisfactory,1 - Very Good,3 - Satisfactory,155.24476887186177,0.30614885373524703
